17/04/2025 08:00,London Brixton,Louis Barnes,"Large Cappuccino - 2.45, Regular Smoothies - Carrot Kick - 2.00, Large Iced americano - 2.50",6.95,CASH,
17/04/2025 08:00,London Brixton,Melissa Smith,Regular Cappuccino - 2.15,2.15,CARD,8758938665141013
17/04/2025 08:01,London Brixton,Otis Farmer,Regular Smoothies - Carrot Kick - 2.00,2.0,CARD,9424565916042266
17/04/2025 08:02,London Brixton,Kerry Sugarman,Large Iced americano - 2.50,2.5,CARD,6519469945218932
17/04/2025 08:03,London Brixton,Andrew Robinson,Large Speciality Tea - Earl Grey - 1.60,1.6,CASH,
17/04/2025 08:04,London Brixton,Paul Hancock,"Regular Cappuccino - 2.15, Regular Cappuccino - 2.15",4.3,CASH,
17/04/2025 08:05,London Brixton,Peggy Haverstick,"Large Frappes - Strawberries & Cream - 3.25, Large Smoothies - Carrot Kick - 2.50, Large Cappuccino - 2.45, Regular Hot chocolate - 2.20",10.4,CASH,
17/04/2025 08:06,London Brixton,Armando Benack,Large Speciality Tea - Earl Grey - 1.60,1.6,CARD,4031723125090018
17/04/2025 08:07,London Brixton,Lena Perras,"Regular Frappes - Strawberries & Cream - 2.75, Large Smoothies - Carrot Kick - 2.50, Large Cappuccino - 2.45",7.7,CARD,9951397451667667
17/04/2025 08:08,London Brixton,Bryan Coleman,"Regular Iced americano - 2.15, Regular Smoothies - Glowing Greens - 2.00, Large Iced americano - 2.50, Regular Smoothies - Glowing Greens - 2.00",8.65,CARD,8541162373897212
17/04/2025 08:09,London Brixton,William Searles,"Large Hot chocolate - 2.90, Large Cappuccino - 2.45, Regular Hot chocolate - 2.20, Regular Smoothies - Carrot Kick - 2.00",9.55,CARD,9337662853303662
17/04/2025 08:10,London Brixton,Eileen Karpinen,"Regular Hot chocolate - 2.20, Large Cappuccino - 2.45",4.65,CARD,6223433922289072
17/04/2025 08:11,London Brixton,Jonathan Wiley,"Large Cappuccino - 2.45, Regular Cappuccino - 2.15",4.6,CASH,
17/04/2025 08:12,London Brixton,Christine Hitchcock,"Regular Smoothies - Glowing Greens - 2.00, Large Frappes - Strawberries & Cream - 3.25, Regular Espresso - 1.50, Regular Speciality Tea - Earl Grey - 1.30, Large Espresso - 1.80",9.85,CARD,4341009879571880
17/04/2025 08:13,London Brixton,James Mcadory,"Regular Hot chocolate - 2.20, Regular Cappuccino - 2.15, Regular Cappuccino - 2.15, Large Espresso - 1.80",8.3,CARD,4624036176311511
17/04/2025 08:14,London Brixton,Ethan Linen,"Regular Cappuccino - 2.15, Large Cappuccino - 2.45, Regular Espresso - 1.50",6.1,CARD,8909224293483416
17/04/2025 08:15,London Brixton,Tony Herrera,"Regular Frappes - Strawberries & Cream - 2.75, Large Speciality Tea - Earl Grey - 1.60, Large Hot chocolate - 2.90, Large Frappes - Strawberries & Cream - 3.25, Large Iced americano - 2.50",13.0,CARD,8247972562991227
17/04/2025 08:16,London Brixton,Tracey Arterberry,"Regular Espresso - 1.50, Large Iced americano - 2.50, Regular Espresso - 1.50",5.5,CASH,
17/04/2025 08:17,London Brixton,Douglas Weatherford,"Regular Iced americano - 2.15, Regular Iced americano - 2.15",4.3,CARD,2866387332153480
17/04/2025 08:18,London Brixton,Diane Harrington,"Large Smoothies - Glowing Greens - 2.50, Large Speciality Tea - Earl Grey - 1.60, Large Frappes - Strawberries & Cream - 3.25",7.35,CASH,
17/04/2025 08:19,London Brixton,Humberto White,Large Hot chocolate - 2.90,2.9,CARD,1236750865352934
17/04/2025 08:20,London Brixton,Vesta Kahn,"Large Hot chocolate - 2.90, Large Smoothies - Carrot Kick - 2.50, Large Espresso - 1.80, Large Speciality Tea - Earl Grey - 1.60",8.8,CARD,8995375916388353
17/04/2025 08:21,London Brixton,Richard Floyd,"Large Speciality Tea - Earl Grey - 1.60, Large Iced americano - 2.50",4.1,CARD,3939783613657349
17/04/2025 08:22,London Brixton,William Owens,"Regular Smoothies - Carrot Kick - 2.00, Large Hot chocolate - 2.90, Regular Smoothies - Glowing Greens - 2.00",6.9,CASH,
17/04/2025 08:23,London Brixton,Adam Fox,"Regular Iced americano - 2.15, Large Speciality Tea - Earl Grey - 1.60, Regular Smoothies - Glowing Greens - 2.00, Large Smoothies - Glowing Greens - 2.50, Large Iced americano - 2.50",10.75,CASH,
17/04/2025 08:24,London Brixton,Rita Mcdonald,"Large Iced americano - 2.50, Regular Iced americano - 2.15, Regular Frappes - Strawberries & Cream - 2.75, Large Frappes - Strawberries & Cream - 3.25",10.65,CARD,7675784361792634
17/04/2025 08:25,London Brixton,Matthew Shone,"Large Espresso - 1.80, Large Speciality Tea - Earl Grey - 1.60",3.4,CARD,4921434703438156
17/04/2025 08:26,London Brixton,Kristen Kelton,"Regular Smoothies - Carrot Kick - 2.00, Regular Hot chocolate - 2.20",4.2,CARD,9534834184695853
17/04/2025 08:27,London Brixton,Paula Wagner,Regular Hot chocolate - 2.20,2.2,CARD,2493526537946599
17/04/2025 08:28,London Brixton,Henry Somerville,"Large Smoothies - Glowing Greens - 2.50, Large Espresso - 1.80, Large Speciality Tea - Earl Grey - 1.60, Regular Espresso - 1.50",7.4,CARD,7745978434146315
17/04/2025 08:29,London Brixton,Carroll Lively,"Large Speciality Tea - Earl Grey - 1.60, Regular Speciality Tea - Earl Grey - 1.30, Large Frappes - Strawberries & Cream - 3.25, Large Frappes - Strawberries & Cream - 3.25",9.4,CASH,
