19/04/2025 09:00,London Camden,Dolores Skaggs,"Regular Iced latte - 2.35, Regular Luxury hot chocolate - 2.40, Regular Iced latte - 2.35, Regular Hot chocolate - 2.20",9.3,CARD,4342799424801377
19/04/2025 09:02,London Camden,Mandy Bailey,"Large Flavoured hot chocolate - Vanilla - 2.90, Large Flavoured latte - Vanilla - 2.85, Large Flavoured hot chocolate - Hazelnut - 2.90",8.65,CARD,9593499568471484
19/04/2025 09:05,London Camden,Helen Court,"Large Chai latte - 2.60, Large Speciality Tea - Peppermint - 1.60",4.2,CASH,
19/04/2025 09:08,London Camden,Chad Smith,Regular Flavoured hot chocolate - Vanilla - 2.60,2.6,CARD,5209216778781384
19/04/2025 09:10,London Camden,Meghan Jimenes,"Regular Flavoured latte - Vanilla - 2.55, Regular Iced latte - 2.35, Regular Speciality Tea - Peppermint - 1.30",6.2,CARD,4770441692961314
19/04/2025 09:13,London Camden,Eric Fitzgerald,"Large Chai latte - 2.60, Large Iced latte - 2.85, Regular Luxury hot chocolate - 2.40, Large Chai latte - 2.60",10.45,CARD,2466778601921205
19/04/2025 09:16,London Camden,John Kearby,"Large Speciality Tea - Peppermint - 1.60, Regular Flavoured hot chocolate - Vanilla - 2.60, Large Flavoured hot chocolate - Vanilla - 2.90",7.1,CARD,1215546201859967
19/04/2025 09:19,London Camden,Tammi Capone,"Regular Iced latte - 2.35, Regular Flavoured hot chocolate - Vanilla - 2.60, Large Iced latte - 2.85",7.8,CASH,
19/04/2025 09:21,London Camden,Cher Phair,"Regular Hot chocolate - 2.20, Large Hot chocolate - 2.90",5.1,CARD,4165603240602158
19/04/2025 09:24,London Camden,Eric Duberry,Large Luxury hot chocolate - 2.70,2.7,CASH,
19/04/2025 09:27,London Camden,Allegra Edwards,"Regular Speciality Tea - Peppermint - 1.30, Large Hot chocolate - 2.90, Large Speciality Tea - Peppermint - 1.60",5.8,CARD,9523185259560933
19/04/2025 09:29,London Camden,Daniel Holohan,"Large Flavoured hot chocolate - Hazelnut - 2.90, Large Speciality Tea - Peppermint - 1.60",4.5,CARD,1540963683069415
19/04/2025 09:32,London Camden,Jason Cartwright,"Large Flavoured hot chocolate - Vanilla - 2.90, Regular Hot chocolate - 2.20, Regular Iced latte - 2.35, Large Flavoured hot chocolate - Hazelnut - 2.90",10.35,CARD,4005760241064517
19/04/2025 09:35,London Camden,Florence Rolon,"Large Hot chocolate - 2.90, Regular Iced latte - 2.35, Large Speciality Tea - Peppermint - 1.60",6.85,CARD,1089189304918023
19/04/2025 09:38,London Camden,Misty Dickson,Large Speciality Tea - Peppermint - 1.60,1.6,CARD,4162630026965482
19/04/2025 09:40,London Camden,Felicia Hatcher,"Regular Iced latte - 2.35, Large Speciality Tea - Peppermint - 1.60, Large Flavoured hot chocolate - Vanilla - 2.90, Regular Flavoured hot chocolate - Vanilla - 2.60, Regular Iced latte - 2.35",11.8,CARD,4262249123384463
19/04/2025 09:43,London Camden,Linda Shackelford,"Large Iced latte - 2.85, Large Chai latte - 2.60",5.45,CASH,
19/04/2025 09:46,London Camden,Doug Chaisson,"Large Speciality Tea - Peppermint - 1.60, Large Speciality Tea - Peppermint - 1.60, Large Hot chocolate - 2.90, Regular Speciality Tea - Peppermint - 1.30",7.4,CASH,
19/04/2025 09:48,London Camden,Agnes Padilla,"Large Speciality Tea - Peppermint - 1.60, Large Luxury hot chocolate - 2.70",4.3,CASH,
19/04/2025 09:51,London Camden,Ricky Burkey,"Regular Hot chocolate - 2.20, Large Flavoured hot chocolate - Vanilla - 2.90, Regular Luxury hot chocolate - 2.40, Large Flavoured hot chocolate - Hazelnut - 2.90",10.4,CARD,5018037279378646
19/04/2025 09:54,London Camden,Karen Smiley,Large Speciality Tea - Peppermint - 1.60,1.6,CARD,8027715552189596
